t,qx,qy,px,py,H
1.2750000000000001,0.9761893558659244,-1.0232567329336621,-0.5187273487048717,-0.4948671238648725,10.083609311533781
1.276,0.9756677516629626,-1.0237540907683542,-0.524481757705713,-0.4998465373114285,10.085833907111104
1.2770000000000001,0.9751403909445697,-1.0242564219708228,-0.5302403845203684,-0.5048138383754455,10.0880811220709
1.278,0.9746072694781527,-1.02476371436558,-0.536003258626633,-0.5097689008679455,10.090350912980869
1.2790000000000001,0.9740683830018833,-1.0252759556510123,-0.5417704090153257,-0.5147115987253827,10.092643235910337
1.28,0.9735237272251891,-1.0257931333995054,-0.5475418641858697,-0.519641806011638,10.094958046429275
1.281,0.9729732978292445,-1.0263152350575746,-0.5533176521419286,-0.5245593969200562,10.09729529960735
1.282,0.9724170904674698,-1.0268422479459933,-0.559097800387045,-0.5294642457754887,10.099654950012956
1.283,0.9718551007660353,-1.027374159259926,-0.5648823359203059,-0.534356227036356,10.102036951712234
1.284,0.9712873243243643,-1.0279109560690642,-0.5706712852320492,-0.5392352152967433,10.104441258268134
1.285,0.9707137567156469,-1.0284526253177617,-0.5764646742995728,-0.544101085288499,10.106867822739405
1.286,0.9701343934873539,-1.028999153825174,-0.5822625285828896,-0.5489537118833687,10.109316597679673
1.287,0.9695492301617571,-1.029550528285399,-0.5880648730204868,-0.5537929700951331,10.111787535136438
1.288,0.9689582622364513,-1.030106735267621,-0.5938717320251375,-0.558618735081788,10.114280586650132
1.289,0.9683614851848843,-1.0306677612162543,-0.5996831294797076,-0.5634308821477192,10.116795703253137
1.29,0.9677588944568865,-1.0312335924510923,-0.6054990887330202,-0.5682292867459229,10.119332835468828
1.291,0.9671504854792092,-1.031804215167456,-0.6113196325957198,-0.5730138244802261,10.121891933310609
1.292,0.966536253656063,-1.0323796154363485,-0.6171447833361849,-0.5777843711075442,10.124472946280958
1.293,0.9659161943696641,-1.0329597792046046,-0.6229745626764468,-0.5825408025401431,10.12707582337045
1.294,0.9652903029807801,-1.0335446922950522,-0.6288089917881604,-0.5872829948479413,10.129700513056822
1.295,0.9646585748292853,-1.034134340406667,-0.6346480912885742,-0.5920108242608121,10.132346963303991
1.296,0.9640210052347142,-1.0347287091147377,-0.6404918812365591,-0.5967241671709277,10.135015121561137
1.297,0.9633775894968245,-1.035327783871025,-0.6463403811286356,-0.6014229001351058,10.137704934761725
1.298,0.9627283228961592,-1.035931550003932,-0.6521936098950549,-0.6061068998771927,10.140416349322573
1.299,0.9620732006946167,-1.036539992718668,-0.6580515858958849,-0.6107760432904523,10.143149311142903
1.3,0.9614122181360207,-1.037153097097423,-0.6639143269171508,-0.6154302074399958,10.145903765603412
1.301,0.9607453704466995,-1.037770848099538,-0.669781850166978,-0.6200692695652101,10.148679657565333
1.302,0.960072652836062,-1.038393230561682,-0.6756541722717909,-0.6246931070822304,10.151476931369508
1.303,0.9593940604971842,-1.0390202291980293,-0.6815313092725168,-0.6293015975864142,10.154295530835453
1.304,0.9587095886073945,-1.039651828600441,-0.6874132766208416,-0.6338946188548538,10.157135399260468
1.305,0.9580192323288671,-1.0402880132386456,-0.6933000891754734,-0.6384720488488926,10.15999647941868
1.306,0.9573229868092141,-1.040928767460428,-0.699191761198463,-0.6430337657166859,10.162878713560177
1.307,0.9566208471820866,-1.0415740754918141,-0.7050883063515255,-0.6475796477957558,10.165782043410074
1.308,0.955912808567775,-1.0422239214372642,-0.7109897376924218,-0.652109573615596,10.168706410167637
1.309,0.9551988660738158,-1.0428782892798645,-0.7168960676713473,-0.6566234219002739,10.171651754505383
1.31,0.9544790147955998,-1.0435371628815244,-0.7228073081273703,-0.661121071571074,10.174618016568212
1.311,0.953753249816987,-1.0442005259831737,-0.7287234702848836,-0.6656024017491443,10.177605135972508
1.312,0.9530215662109206,-1.0448683622049642,-0.7346445647501125,-0.6700672917581866,10.180613051805286
1.313,0.952283959040049,-1.0455406550464743,-0.7405706015076261,-0.6745156211271431,10.18364170262334
1.314,0.9515404233573478,-1.046217387886915,-0.7465015899169101,-0.6789472695929315,10.18669102645237
1.315,0.9507909542067473,-1.046898543985339,-0.752437538708947,-0.6833621171031782,10.189760960786158
1.316,0.9500355466237622,-1.0475841064808542,-0.7583784559828498,-0.6877600438189916,10.19285144258572
